Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71543916,3,"Wednesday, March 16, 2011 19:18:58 UTC",35.7622,-121.1813,2.1,8.90,65,"Central California"
nm,031611n,A,"Wednesday, March 16, 2011 19:13:06 UTC",35.2566,-92.3605,2.1,5.30, 5,"Arkansas"
mb,11054570,2,"Wednesday, March 16, 2011 19:09:36 UTC",44.6128,-112.0823,3.0,10.80,59,"western Montana"
ci,10909637,4,"Wednesday, March 16, 2011 18:51:34 UTC",36.0357,-117.7755,1.5,3.30,23,"Central California"
nc,71543906,4,"Wednesday, March 16, 2011 18:36:55 UTC",38.8395,-122.8303,1.3,2.60,39,"Northern California"
nm,031611m,A,"Wednesday, March 16, 2011 18:35:04 UTC",35.2306,-92.3730,2.2,4.80, 9,"Arkansas"
nc,71543896,0,"Wednesday, March 16, 2011 18:24:28 UTC",38.7503,-122.6903,1.0,2.20, 9,"Northern California"
us,c00024ey,8,"Wednesday, March 16, 2011 18:23:08 UTC",29.4124,141.8057,5.0,23.70,181,"Izu Islands, Japan region"
nc,71543891,0,"Wednesday, March 16, 2011 18:18:51 UTC",38.8167,-122.7938,1.1,1.20,15,"Northern California"
us,c00024ep,6,"Wednesday, March 16, 2011 18:12:59 UTC",37.1610,142.1343,5.0,35.00,182,"off the east coast of Honshu, Japan"
nm,031611l,A,"Wednesday, March 16, 2011 18:10:38 UTC",35.2268,-92.3767,2.2,5.10, 9,"Arkansas"
uu,03161808,2,"Wednesday, March 16, 2011 18:08:47 UTC",38.8528,-111.9620,1.4,4.20, 5,"Utah"
us,c00024e6,4,"Wednesday, March 16, 2011 17:55:01 UTC",36.2767,143.1539,4.2,25.80,19,"off the east coast of Honshu, Japan"
ci,10909621,4,"Wednesday, March 16, 2011 17:53:15 UTC",33.1740,-115.6127,1.0,0.20,16,"Southern California"
nm,031611k,A,"Wednesday, March 16, 2011 17:52:52 UTC",35.2299,-92.3793,2.5,5.10,10,"Arkansas"
nm,031611j,A,"Wednesday, March 16, 2011 17:50:25 UTC",35.2136,-92.3700,2.5,4.10,11,"Arkansas"
ci,10909613,4,"Wednesday, March 16, 2011 17:49:16 UTC",33.1830,-115.6145,1.6,5.70,24,"Southern California"
us,2011incp,5,"Wednesday, March 16, 2011 17:36:55 UTC",45.5700,-74.5500,4.3,18.00,61,"Ontario-Quebec border region, Canada"
nc,71543881,3,"Wednesday, March 16, 2011 17:33:46 UTC",38.8062,-122.7938,2.2,1.30,53,"Northern California"
ci,10909589,4,"Wednesday, March 16, 2011 17:30:18 UTC",33.1793,-115.6117,1.8,1.00,22,"Southern California"
us,c00024d9,5,"Wednesday, March 16, 2011 17:19:28 UTC",35.5419,140.7536,4.8,24.80,47,"near the east coast of Honshu, Japan"
ci,10909573,4,"Wednesday, March 16, 2011 17:17:05 UTC",36.0967,-117.8588,1.5,5.20,17,"Central California"
us,c00024d1,8,"Wednesday, March 16, 2011 17:12:39 UTC",56.6306,121.3074,4.9,12.00,187,"Amurskaya Oblast', Russia"
